pos,age,muslim,rel_others,yoruba,igbo,eth_others,nc,nw,se,ss,sw,lat,lng,wealth,urban
0,35,0,0,0,0,1,1,0,0,0,0,7.445235,9.004712,-29434,0
0,48,0,0,0,0,1,1,0,0,0,0,7.445235,9.004712,-77270,0
0,29,0,0,0,0,1,1,0,0,0,0,7.445235,9.004712,-79332,0
0,21,0,0,0,0,1,1,0,0,0,0,7.445235,9.004712,-112393,0
0,40,0,0,0,0,1,1,0,0,0,0,7.445235,9.004712,-19661,0
0,16,0,0,0,0,1,1,0,0,0,0,7.445235,9.004712,-19661,0
0,28,0,0,0,0,1,1,0,0,0,0,7.445235,9.004712,-100458,0
0,26,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-112791,0
0,27,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-78412,0
0,22,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-78412,0
0,43,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-99264,0
0,22,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-99264,0
0,19,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-99264,0
0,31,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-98302,0
0,41,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-108774,0
0,20,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-108774,0
0,17,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-108774,0
0,40,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-113432,0
0,17,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-113432,0
0,36,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-124572,0
0,21,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-124572,0
0,25,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-124572,0
0,44,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-96597,0
0,35,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-103777,0
0,16,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-95071,0
0,20,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-95071,0
0,30,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-113761,0
0,36,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-38495,0
0,25,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-103690,0
0,32,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-111435,0
0,19,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-111435,0
0,35,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-94060,0
0,23,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-104432,0
0,21,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-94787,0
0,35,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-113978,0
0,19,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-113978,0
0,33,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-102540,0
0,16,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-102540,0
0,23,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-94181,0
0,26,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-81230,0
0,25,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-114020,0
0,20,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-94651,0
0,45,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-102558,0
0,25,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-107336,0
0,23,0,1,0,0,1,1,0,0,0,0,7.245967,8.672722,-106600,0
0,21,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-80917,0
0,21,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-95053,0
0,25,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-95053,0
0,24,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-106950,0
0,25,0,0,0,0,1,1,0,0,0,0,7.245967,8.672722,-106152,0
0,16,0,0,0,0,1,1,0,0,0,0,7.33442,8.976706,144401,1
0,22,0,0,0,0,1,1,0,0,0,0,7.33442,8.976706,52503,1
0,37,0,0,0,0,1,1,0,0,0,0,7.33442,8.976706,23852,1
0,19,0,0,0,0,1,1,0,0,0,0,7.33442,8.976706,23852,1
